sample_id	plant_code	latitude	longitude	site	plant_species	aphid_species	transfected
Y20-0269	heh	47.4036597	8.59869905	Überland	Hedera_helix	Aphis_hederae	no
Y20-0270	ruf	47.39959952	8.53192854	Käferholzstrasse	Rubus_fruticosus	Aphis_ruborum	no
Y20-0271	ruf	47.39964477	8.53793361	Weihersteig	Rubus_fruticosus	Aphis_ruborum	no
Y20-0272	ruf	47.39864122	8.52797122	Weihersteig	Rubus_fruticosus	Aphis_ruborum	no
Y20-0273	ruf	47.39878542	8.5271531	Tièchestrasse	Rubus_fruticosus	Aphis_ruborum	no
Y20-0275	ruf	47.39909133	8.5253806	Tièchestrasse	Rubus_fruticosus	Aphis_ruborum	no
Y20-0279	ruf	47.3997645	8.52451192	Waidstrasse	Rubus_fruticosus	Aphis_ruborum	no
Y20-0281	ruf	47.4002641	8.52452583	Waidstrasse	Rubus_fruticosus	Aphis_ruborum	no
Y20-0282	ruf	47.40034139	8.52435669	Waidstrasse	Rubus_fruticosus	Aphis_ruborum	no
Y20-0283	ruf	47.40067053	8.52420789	Kaferberg	Rubus_fruticosus	Aphis_ruborum	no
Y20-0285	ruf	47.399125	8.52323266	Tièchestrasse	Rubus_fruticosus	Aphis_ruborum	no
Y20-0287	heh	47.39769212	8.52274564	Waidstrasse	Hedera_helix	Aphis_hederae	no
Y20-0288	ruf	47.39770333	8.5224104	Waidstrasse	Rubus_fruticosus	Aphis_ruborum	no
Y20-0291	heh	47.39667571	8.5227202	Wunderlistrasse	Hedera_helix	Aphis_hederae	no
Y20-0292	heh	47.39412558	8.52370408	Dorfstrasse	Hedera_helix	Aphis_hederae	no
Y20-0295	ruf	47.40329103	8.60624534	Am	Rubus_fruticosus	Aphis_ruborum	no
Y20-0296	ruf	47.39965618	8.61344531	Birchlenstrasse	Rubus_fruticosus	Aphis_ruborum	no
Y20-0297	ruf	47.39996411	8.61392945	Birchlenstrasse	Rubus_fruticosus	Aphis_ruborum	no
Y20-0300	heh	47.3838623	8.474857723	Friedhofstrasse	Hedera_helix	Aphis_hederae	no
Y20-0304	cha	47.38713924	8.469784409	Salzweg	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0305	cha	47.38709151	8.469897816	Salzweg	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0306	cha	47.38710458	8.469852721	Salzweg	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0307	cha	47.38703791	8.469842914	Salzweg	Chenopodium_album	Aphis_fabae_fabae	no
